ID;Nome;Grupo Muscular;Músculo Principal;Músculos Secundários;Nível;Equipamento;Para Situação;Adaptação Dor Joelho;Adaptação Dor Ombro;Adaptação Dor Lombar;Passo a Passo;Erros Comuns;Dica de Ouro Biomecânica
agachamento;Agachamento Livre;Pernas;Quadríceps;Glúteo Máximo, Isquiotibiais;Iniciante;Nenhum (Peso Corporal);Treino em Casa / Funcional;Se doer, faça Agachamento na Parede (Wall Sit);Seguro para ombro;Seguro por ser peso corporal leve;1. Pés na largura do quadril. 2. Empurre quadril para trás e flexione joelhos. 3. Desça controlando até coxas paralelas ao solo. 4. Empurre o chão e suba.;Deixar joelhos irem para dentro (valgo);Mantenha o peito aberto e empurre o calcanhar firme contra o chão.
agachamento_goblet;Agachamento Goblet;Pernas;Quadríceps;Glúteos, Core, Eretores da Espinha;Iniciante;Halteres;Casa ou Academia;Limite a descida a 90 graus de flexão;Seguro para ombros;Muito mais seguro para lombar do que agachamento traseiro;1. Segure um halter verticalmente rente ao peito. 2. Afaste os pés e desça mantendo o tronco vertical. 3. Expulse o ar no topo.;Inclinar o tronco excessivamente à frente;Manter o halter colado no peito ajuda a manter o tronco ereto e protege a coluna de tensões de cisalhamento.
leg_press;Leg Press 45;Pernas;Quadríceps;Glúteos, Isquiotibiais;Intermediário;Máquina;Academia Hipertrofia;Posicione os pés mais altos na plataforma para aliviar a patela;Seguro para ombros;Não tire a pelve do encosto de forma alguma;1. Sente-se firme com os pés na plataforma. 2. Remova a trava de segurança. 3. Desça controladamente até que os joelhos façam 90 graus. 4. Empurre de volta.;Tirar o quadril do banco no ponto mais baixo;Nunca estenda totalmente os joelhos no topo (bloqueio articular) para preservar seus ligamentos.
bulgaro;Agachamento Búlgaro;Pernas;Quadríceps;Glúteos, Adutores, Core;Avançado;Halteres ou Peso Corporal;Unilateral / Correção de Assimetrias;Se tiver dor, use o Leg Press ou Agachamento Goblet;Seguro para ombro;Baixa sobrecarga na coluna;1. Apoie um pé atrás sobre um banco. 2. Dê um passo à frente com a outra perna. 3. Desça verticalmente projetando o joelho de trás para baixo. 4. Empurre com o pé da frente.;Deixar o joelho da frente desabar para dentro;Excelente construtor de glúteo e quadríceps sem sobrecarregar a coluna lombar.
extensora;Cadeira Extensora;Pernas;Quadríceps;Nenhum (Isolamento);Iniciante;Máquina;Definição / Isolamento de Coxa;Ajuste a máquina para que o eixo do joelho coincida com o eixo da polia;Seguro para ombrow;Isola 100% livre de carga lombar;1. Ajuste o banco encostando as costas. 2. Ajuste o rolo de espuma sobre os tornozelos. 3. Estenda as pernas contraindo as coxas. 4. Retorne devagar.;Chutar o peso rápido e travar o joelho com impacto;Mantenha as costas atadas ao banco segurando firme nos apoios laterais.
wall_sit;Agachamento na Parede (Wall Sit);Pernas;Quadríceps;Glúteos, Core;Iniciante;Nenhum (Parede);Proteção de Joelho / Isometria;Perfeito para reabilitação e condromalácia patelar;Seguro para ombro;Lombar 100% apoiada e protegida;1. Encoste as costas na parede. 2. Desça até joelhos formarem ângulo de 90 graus. 3. Mantenha os calcanhares plantados e sustente a posição por tempo.;Deixar os pés escorregarem ou arredondar as costas;Excelente exercício para construir resistência e fortalecer os tendões do joelho sem atrito articular.
stiff;Levantamento Terra RDL (Stiff);Pernas;Isquiotibiais;Glúteos, Eretores de Espinha, Grip;Intermediário;Halteres ou Barra;Cadeia Posterior e Postura;Seguro para joelhos pelo foco no quadril;Seguro para ombros;Se tiver dor lombar, substitua por Elevação Pélvica ou Ponte;1. Pés na largura do quadril, joelhos micro-flexionados. 2. Empurre o quadril para trás curvando o tronco até a canela. 3. Retorne contraindo os glúteos.;Arredondar a coluna lombar na descida;Imagine que quer empurrar uma parede imaginária com o bumbum. Mantenha o pescoço alinhado com o peito.
elevacao_pelvica;Elevação Pélvica (Hip Thrust);Glúteos;Glúteo Máximo;Posterior de coxa, Core;Intermediário;Halteres ou Barra;Máxima ativação de glúteos;Muito amigável para articulações dos joelhos;Seguro para ombros;A melhor e mais segura alternativa para lombar fraca;1. Apoie a parte superior das costas em um banco estável. 2. Apoie os pés empurrando o quadril para cima. 3. Aperte os glúteos no topo.;Arquear o pescoço para trás ou hiperestender a lombar;Mantenha o queixo apontado levemente ao peito durante todo o movimento para proteger a lombar.
ponte_solo;Ponte de Glúteos no Solo;Glúteos;Glúteo Máximo;Posterior de coxa, Core;Iniciante;Nenhum (Peso Corporal);Treino em Casa / Lombar Sensível;Seguro para joelhos;Seguro para ombros;Excelente exercício terapêutico de alívio e fortalecimento lombar;1. Deitado de costas com pés no chão próximos ao bumbum. 2. Suba o quadril espremendo as nádegas. 3. Mantenha o core firme e retorne.;Subir empurrando com pontas dos pés;Mantenha a contração isométrica por 2 segundos no ponto mais alto para ativação neuromuscular superior.
supino_halter;Supino Reto com Halteres;Peito;Peitoral Maior;Deltoide Anterior, Tríceps;Iniciante;Halteres;Empurrar Geral / Academia;Seguro para joelhos;Mais seguro que barra por permitir rotação anatômica dos punhos;Seguro para lombar;1. Deitado com halteres na linha do peito. 2. Empurre verticalmente até estender os braços. 3. Desça controlando o peso.;Abrir demais os cotovelos a 90 graus (pinçamento de ombro);Mantenha os cotovelos em ângulo aproximado de 75 a 60 graus com o tronco para proteger o manguito rotador.
supino_inclinado_halter;Supino Inclinado com Halteres;Peito;Peitoral Superior;Deltoide Anterior, Tríceps;Intermediário;Halteres;Foco em Porção Superior do Peito;Seguro para joelhos;Mantenha o ângulo do banco em no máximo 30 a 45 graus;Seguro para lombar;1. Ajuste o banco inclinado. 2. Mantenha as escápulas unidas atrás. 3. Empurre os halteres à frente do peito superior. 4. Desça de forma lenta.;Usar inclinação alta que sobrecarrega apenas os ombros;Uma ligeira inclinação (30 graus) ativa muito mais o peitoral superior e poupa o deltoide anterior.
flexao_braço;Flexão de Braço (Push Up);Peito;Peitoral Maior;Deltoide Anterior, Tríceps, Core;Iniciante;Nenhum;Casa ou Academia;Seguro para joelhos;Apoie os joelhos no chão se os ombros doerem;Mantenha o core firme para não desabar o quadril;1. Posição de prancha alta com as mãos na largura os ombros. 2. Desça o peito até tocar o chão. 3. Empurre de volta.;Deixar o quadril cair ou abrir os cotovelos como asas;A flexão de braço é uma prancha dinâmica. Contraia o abdômen e os glúteos o tempo inteiro.
pull_up;Puxada na Barra Fixa (Pull-up);Costas;Latíssimo do Dorso;Bíceps, Romboides, Trapézio;Avançado;Nenhum (Barra Estática);Força Superior Bruta;Seguro para joelhos;Exige excelente mobilidade dos ombros;Seguro para lombar se as pernas não balançarem;1. Segure a barra com pegada pronada aberta. 2. Puxe puxando seus cotovelos para baixo em direção ao quadril. 3. Passe o queixo pela barra e desça devagar.;Usar impulso do quadril (roubo/kipping);Dobre os joelhos para trás e cruze os calcanhares para estabilizar seu core corporal.
puxada_alta;Puxada Alta na Polia;Costas;Latíssimo do Dorso;Bíceps, Trapézio, Romboides;Iniciante;Máquina;Largura de Costas / Academia;Seguro para joelhos;Se doer, faça puxada com pegada neutra (triângulo);Seguro para lombar;1. Sente-se ajustando as travas nas coxas. 2. Segure o puxador aberto. 3. Puxe em direção ao peitoral superior, inclinando o tronco de leve.;Puxar atrás do pescoço ou curvar peito para dentro;Pense em direcionar a barra ao seu peito projetando o esterno para cima, espremendo as costas abaixo.
remada_serrote;Remada Serrote Unilateral;Costas;Latíssimo do Dorso;Bíceps, Deltoide Posterior;Iniciante;Halteres;Isolamento Unilateral / Lombar Segura;Seguro para joelhos;Seguro para ombros;Apoio no banco protege 100% a coluna;1. Apoie um joelho e uma mão no banco plano. 2. Segure o halter com o braço pendente. 3. Puxe o halter em direção ao quadril. 4. Retorne.;Puxar o halter em direção ao peito verticalmente;Puxe fazendo um movimento em pêndulo (arco) em direção ao seu bolso, poupando o bíceps e isolando as costas.
